fu_element 1;fu_A1;fu_Z1;fu_element 2;fu_A2;fu_Z2;fu_element;fu_A;fu_Z;fu_MeV;fi_element;fi_A;fi_Z;element 1;fi_A1;fi_Z1;fi_element 2;fi_A2;fi_Z2;fi_MeV
O;18;8;Mo;100;42;Sn;118;50;4,6016;W;180;74;Ca;46;20;Xe;134;54;81,8718
D;2;1;N;14;7;O;16;8;20,8925;W;182;74;Ca;48;20;Xe;134;54;84,3086
Н;1;1;N;15;7;O;16;8;12,1262;W;180;74;Ca;44;20;Xe;136;54;78,4961
D;2;1;N;15;7;O;17;8;14,0432;W;182;74;Ca;46;20;Xe;136;54;81,3753
Не;4;2;N;15;7;F;19;9;4,011;W;184;74;Ca;48;20;Xe;136;54;85,1441
Li;6;3;N;14;7;Ne;20;10;24,1499;W;180;74;Ti;50;22;Te;130;52;88,9484
Li;7;3;N;14;7;Ne;21;10;23,6581;Re;185;75;Не;4;2;Ta;181;73;2,2701
Li;6;3;N;15;7;Ne;21;10;19,92;Re;185;75;B;11;5;Yb;174;70;4,3734
Li;7;3;N;15;7;Ne;22;10;23,034;Re;187;75;B;11;5;Yb;176;70;3,6468
Be;9;4;N;14;7;Na;23;11;23,8975;Re;185;75;N;15;7;Er;170;68;16,2099
B;10;5;N;14;7;Mg;24;12;29,003;Re;185;75;Ca;48;20;Cs*;137;55;87,4086
B;11;5;N;14;7;Mg;25;12;24,8774;Os;184;76;Не;4;2;W;180;74;2,7731
B;10;5;N;15;7;Mg;25;12;25,3432;Os;186;76;Не;4;2;W;182;74;2,8569
B;11;5;N;15;7;Mg;26;12;24,9845;Os;187;76;Не;4;2;W;183;74;2,8569
C;13;6;N;14;7;Al;27;13;23,3442;Os;188;76;Не;4;2;W;184;74;2,2142
C;12;6;N;15;7;Al;27;13;17,3006;Os;190;76;Не;4;2;W;186;74;1,5435
N;14;7;N;14;7;Si;28;14;27,5322;Os;186;76;B;11;5;Lu;175;71;3,4884
N;14;7;N;15;7;Si;29;14;25,019;Os;187;76;B;11;5;Lu;176;71;3,6468
N;15;7;N;15;7;Si;30;14;24,6427;Os;184;76;C;13;6;Yb;171;70;11,8542
Н;1;1;Na;23;11;Mg;24;12;11,693;Os;184;76;C;12;6;Yb;172;70;14,9039
D;2;1;Na;23;11;Mg;25;12;16,7995;Os;186;76;C;13;6;Yb;173;70;11,4443
Не;4;2;Na;23;11;Al;27;13;10,0983;Os;186;76;C;12;6;Yb;174;70;13,8979
Li;6;3;Na;23;11;Si;29;14;26,4619;Os;187;76;C;13;6;Yb;174;70;12,6553
Li;7;3;Na;23;11;Si;30;14;29,8236;Os;188;76;C;12;6;Yb;176;70;12,3237
B;10;5;Na;23;11;S;33;16;29,1101;Os;189;76;C;13;6;Yb;176;70;11,3232
B;11;5;Na;23;11;S;34;16;29,0747;Os;184;76;N;15;7;Tm;169;69;16,8619
C;12;6;Na;23;11;Cl;35;17;19,485;Os;184;76;O;18;8;Er;166;68;21,4244
N;15;7;Na;23;11;Ar;38;18;25,2957;Os;184;76;O;17;8;Er;167;68;19,9116
O;16;8;Na;23;11;K;39;19;19,5372;Os;184;76;O;16;8;Er;168;68;23,5342
O;17;8;Na;23;11;K;40;19;23,1933;Os;186;76;O;18;8;Er;168;68;20,8655
O;18;8;Na;23;11;K;41;19;25,2416;Os;186;76;O;16;8;Er;170;68;21,9041
F;19;9;Na;23;11;Ca;42;20;27,5257;Os;187;76;O;17;8;Er;170;68;19,8557
Ne;22;10;Na;23;11;Sc;45;21;23,51;Os;188;76;O;18;8;Er;170;68;19,8408
Na;23;11;Na;23;11;Ti;46;22;25,0693;Os;184;76;F;19;9;Ho;165;67;22,2208
Н;1;1;Nb;93;41;Mo;94;42;8,4813;Os;184;76;Ne;22;10;Dy;162;66;32,3275
D;2;1;Nb;93;41;Mo;95;42;13,4154;Os;184;76;Ne;21;10;Dy;163;66;28,2625
Li;6;3;Nb;93;41;Ru;99;44;14,0339;Os;184;76;Ne;20;10;Dy;164;66;29,1446
Li;7;3;Nb;93;41;Ru;100;44;17,703;Os;186;76;Ne;22;10;Dy;164;66;31,4146
B;11;5;Nb;93;41;Pd;104;46;10,959;Os;184;76;Mg;26;12;Gd;158;64;42,7267
N;15;7;Nb;93;41;Cd;108;48;1,9822;Os;184;76;Mg;24;12;Gd;160;64;37,6277
He;3;2;Nd;144;60;Sm;147;62;10,5352;Os;186;76;Mg;26;12;Gd;160;64;41,1991
He;3;2;Nd;145;60;Sm;148;62;12,6963;Os;184;76;Si;30;14;Sm;154;62;52,8986
He;3;2;Nd;146;60;Sm;149;62;10,9823;Os;184;76;S;34;16;Nd;150;60;59,6016
Не;4;2;Nd;150;60;Sm;154;62;1,2137;Os;184;76;Ca;48;20;Ba;136;56;89,2716
Li;7;3;Nd;144;60;Eu;151;63;5,8451;Os;184;76;Ca;46;20;Ba;138;56;87,431
Li;6;3;Nd;145;60;Eu;151;63;7,1315;Os;186;76;Ca;48;20;Ba;138;56;89,9516
Li;7;3;Nd;146;60;Eu;153;63;7,2983;Os;184;76;Ti;50;22;Xe;134;54;95,3589
Be;9;4;Nd;143;60;Gd;152;64;2,1201;Os;184;76;Ti;48;22;Xe;136;54;90,7191
Be;9;4;Nd;145;60;Gd;154;64;3,3776;Os;186;76;Ti;50;22;Xe;136;54;94,9463
Be;9;4;Nd;146;60;Gd;155;64;2,1294;Os;184;76;Cr;54;24;Te;130;52;99,6522
Be;9;4;Nd;148;60;Gd;157;64;4,4022;Ir;191;77;Не;4;2;Re;187;75;2,1303
B;11;5;Nd;148;60;Tb;159;65;0,7778;Ir;191;77;B;11;5;Hf;180;72;4,4106
D;2;1;Ne;21;10;Na;23;11;16,9327;Ir;191;77;N;15;7;Yb;176;70;16,7688
Н;1;1;Ne;22;10;Na;23;11;8,7905;Pt;190;78;Не;4;2;Os;186;76;3,1736
Не;4;2;Ne;20;10;Mg;24;12;9,3149;Pt;192;78;Не;4;2;Os;188;76;2,6613
He;3;2;Ne;21;10;Mg;24;12;23,1327;Pt;194;78;Не;4;2;Os;190;76;1,4969
Не;4;2;Ne;21;10;Mg;25;12;9,885;Pt;196;78;Не;4;2;Os;192;76;0,9017
He;3;2;Ne;22;10;Mg;25;12;20,097;Pt;192;78;B;11;5;Ta;181;73;3,861
Не;4;2;Ne;22;10;Mg;26;12;10,6162;Pt;190;78;C;13;6;Hf;177;72;12,2175
Li;7;3;Ne;20;10;Al;27;13;25,0684;Pt;190;78;C;12;6;Hf;178;72;14,9784
Li;6;3;Ne;21;10;Al;27;13;25,5602;Pt;192;78;C;13;6;Hf;179;72;11,2301
Be;9;4;Ne;20;10;Si;29;14;26,2094;Pt;192;78;C;12;6;Hf;180;72;13,6184
Be;9;4;Ne;21;10;Si;30;14;30,063;Pt;190;78;N;15;7;Lu;175;71;17,6537
B;11;5;Ne;20;10;P;31;15;26,0669;Pt;190;78;N;14;7;Lu;176;71;13,0111
B;10;5;Ne;21;10;P;31;15;30,7626;Pt;190;78;O;18;8;Yb;172;70;22,5701
C;12;6;Ne;20;10;S;32;16;18,9727;Pt;190;78;O;17;8;Yb;173;70;20,9735
C;13;6;Ne;20;10;S;33;16;22,6679;Pt;190;78;O;16;8;Yb;174;70;24,2328
C;12;6;Ne;21;10;S;33;16;20,8543;Pt;192;78;O;18;8;Yb;174;70;21,6572
C;13;6;Ne;21;10;S;34;16;27,3282;Pt;192;78;O;16;8;Yb;176;70;22,1463
C;12;6;Ne;22;10;S;34;16;21,9087;Pt;194;78;O;18;8;Yb;176;70;19,4775
N;15;7;Ne;20;10;Cl;35;17;22,0718;Pt;190;78;Ne;22;10;Er;168;68;33,7061
N;14;7;Ne;21;10;Cl;35;17;26,3017;Pt;190;78;Ne;20;10;Er;170;68;29,8059
N;15;7;Ne;22;10;Cl;37;17;23,8435;Pt;192;78;Ne;22;10;Er;170;68;32,1691
O;16;8;Ne;20;10;Ar;36;18;18,452;Pt;190;78;Mg;26;12;Dy;164;66;45,2045
O;18;8;Ne;20;10;Ar;38;18;26,8988;Pt;190;78;Si;30;14;Gd;160;64;55,0224
O;17;8;Ne;21;10;Ar;38;18;28,1851;Pt;190;78;Ar;40;18;Nd;150;60;71,5909
O;16;8;Ne;22;10;Ar;38;18;21,96;Pt;190;78;Ca;48;20;Ce;142;58;91,7959
O;18;8;Ne;22;10;Ar;40;18;26,2318;Pt;190;78;Cr;54;24;Xe;136;54;106,0506
F;19;9;Ne;20;10;K;39;19;25,2742;Pt;190;78;Cr;54;24;Xe;136;54;106,0506
F;19;9;Ne;21;10;K;40;19;26,311;Au;197;79;Не;4;2;Ir;193;77;0,6232
F;19;9;Ne;22;10;K;41;19;26,0399;Au;197;79;B;11;5;W;186;74;2,7079
Ne;20;10;Ne;20;10;Ca;40;20;20,7677;Hg;196;80;Не;4;2;Pt;192;78;1,6664
Ne;21;10;Ne;21;10;Ca;42;20;27,0785;Hg;198;80;Не;4;2;Pt;194;78;1,292
Ne;20;10;Ne;22;10;Ca;42;20;23,4727;Hg;199;80;Не;4;2;Pt;195;78;0,7759
Ne;21;10;Ne;22;10;Ca;43;20;24,6417;Hg;200;80;Не;4;2;Pt;196;78;0,7079
Ne;22;10;Ne;22;10;Ca;44;20;25,4112;Hg;202;80;Не;4;2;Pt;198;78;0,463
D;2;1;Ni;61;28;Cu;63;29;14,4903;Hg;196;80;B;11;5;Re;185;75;3,2574
Н;1;1;Ni;62;28;Cu;63;29;6,1246;Hg;198;80;B;11;5;Re;187;75;1,4298
Н;1;1;Ni;64;28;Cu;65;29;7,4501;Hg;196;80;C;13;6;W;183;74;11,3437
Не;4;2;Ni;60;28;Zn;64;30;3,9505;Hg;196;80;C;12;6;W;184;74;13,8159
He;3;2;Ni;61;28;Zn;64;30;16,7054;Hg;198;80;C;12;6;W;186;74;11,6064
Не;4;2;Ni;62;28;Zn;66;30;4,5643;Hg;199;80;C;13;6;W;186;74;9,8384
He;3;2;Ni;64;28;Zn;67;30;15,6864;Hg;196;80;N;15;7;Ta;181;73;16,5191
Не;4;2;Ni;64;28;Zn;68;30;5,3067;Hg;196;80;O;18;8;Hf;178;72;21,2306
Li;7;3;Ni;62;28;Ga;69;31;17,3891;Hg;196;80;O;17;8;Hf;179;72;19,2521
Li;7;3;Ni;64;28;Ga;71;31;17,8139;Hg;196;80;O;16;8;Hf;180;72;22,4462
Be;9;4;Ni;61;28;Ge;70;32;17,5661;Hg;198;80;O;18;8;Hf;180;72;19,403
Be;9;4;Ni;64;28;Ge;73;32;15,6351;Hg;196;80;Ne;22;10;Yb;174;70;32,9907
B;11;5;Ni;64;28;As;75;33;14,6096;Hg;196;80;Ne;20;10;Yb;176;70;28,541
C;13;6;Ni;61;28;Se;74;34;11,1341;Hg;198;80;Ne;22;10;Yb;176;70;30,4366
C;12;6;Ni;62;28;Se;74;34;5,4912;Hg;196;80;Mg;26;12;Er;170;68;44,4518
C;12;6;Ni;64;28;Se;76;34;8,1319;Hg;196;80;Ca;48;20;Nd;148;60;90,3354
C;13;6;Ni;64;28;Se;77;34;10,5995;Hg;196;80;Ca;46;20;Nd;150;60;85,16
N;15;7;Ni;64;28;Br;79;35;9,0532;Hg;198;80;Ca;48;20;Nd;150;60;87,3061
O;18;8;Ni;60;28;Kr;78;36;8,9191;Tl;203;81;B;11;5;Os;192;76;1,5053
O;17;8;Ni;61;28;Kr;78;36;9,1426;Pb;204;82;Не;4;2;Hg;200;80;1,9766
O;16;8;Ni;62;28;Kr;78;36;2,6939;Pb;206;82;Не;4;2;Hg;202;80;1,1299
O;18;8;Ni;62;28;Kr;80;36;10,3601;Pb;208;82;Не;4;2;Hg;204;80;0,5207
O;16;8;Ni;64;28;Kr;80;36;6,0463;Pb;204;82;B;11;5;Ir;193;77;0,4508
O;18;8;Ni;64;28;Kr;82;36;12,7019;Pb;204;82;C;12;6;Os;192;76;10,8603
Ne;22;10;Ni;62;28;Sr;84;38;5,9187;Pb;204;82;O;18;8;W;186;74;18,2284
Ne;20;10;Ni;64;28;Sr;84;38;6,5437;Bi;209;83;Не;4;2;Tl;205;81;3,1224
Ne;22;10;Ni;64;28;Sr;86;38;9,3932;Bi;209;83;B;11;5;Pt;198;78;3,3366
Mg;26;12;Ni;64;28;Zr;90;40;5,8032;;;;;;;;;;
D;2;1;O;17;8;F;19;9;13,815;;;;;;;;;;
Н;1;1;O;18;8;F;19;9;7,9922;;;;;;;;;;
Не;4;2;O;16;8;Ne;20;10;4,7283;;;;;;;;;;
He;3;2;O;17;8;Ne;20;10;21,1654;;;;;;;;;;
Не;4;2;O;17;8;Ne;21;10;7,3476;;;;;;;;;;
He;3;2;O;18;8;Ne;21;10;19,879;;;;;;;;;;
Не;4;2;O;18;8;Ne;22;10;9,667;;;;;;;;;;
Li;7;3;O;16;8;Na;23;11;19,6983;;;;;;;;;;
Li;6;3;O;17;8;Na;23;11;22,8095;;;;;;;;;;
Be;9;4;O;16;8;Mg;25;12;19,8045;;;;;;;;;;
Be;9;4;O;17;8;Mg;26;12;26,7609;;;;;;;;;;
B;11;5;O;16;8;Al;27;13;21,1309;;;;;;;;;;
B;10;5;O;17;8;Al;27;13;28,446;;;;;;;;;;
C;12;6;O;16;8;Si;28;14;16,7557;;;;;;;;;;
C;13;6;O;16;8;Si;29;14;20,2861;;;;;;;;;;
C;12;6;O;17;8;Si;29;14;21,0918;;;;;;;;;;
C;13;6;O;17;8;Si;30;14;26,759;;;;;;;;;;
C;12;6;O;18;8;Si;30;14;23,659;;;;;;;;;;
N;15;7;O;16;8;P;31;15;19,8036;;;;;;;;;;
N;14;7;O;17;8;P;31;15;26,6528;;;;;;;;;;
O;16;8;O;16;8;S;32;16;16,5396;;;;;;;;;;
O;16;8;O;17;8;S;33;16;21,0406;;;;;;;;;;
O;17;8;O;17;8;S;34;16;28,3202;;;;;;;;;;
O;16;8;O;18;8;S;34;16;24,4145;;;;;;;;;;
D;2;1;Os;189;76;Ir;191;77;10,714;;;;;;;;;;
Н;1;1;Os;190;76;Ir;191;77;5,1931;;;;;;;;;;
Н;1;1;Os;192;76;Ir;193;77;5,547;;;;;;;;;;
He;3;2;Os;187;76;Pt;190;78;11,2152;;;;;;;;;;
He;3;2;Os;189;76;Pt;192;78;11,9697;;;;;;;;;;
He;3;2;Os;192;76;Pt;195;78;11,7555;;;;;;;;;;
Li;7;3;Os;190;76;Au;197;79;7,5013;;;;;;;;;;
Be;9;4;Os;187;76;Hg;196;80;2,1648;;;;;;;;;;
Be;9;4;Os;189;76;Hg;198;80;3,3869;;;;;;;;;;
Be;9;4;Os;190;76;Hg;199;80;2,3567;;;;;;;;;;
Be;9;4;Os;192;76;Hg;201;80;3,0562;;;;;;;;;;
Н;1;1;P;31;15;S;32;16;8,8622;;;;;;;;;;
D;2;1;P;31;15;S;33;16;15,2802;;;;;;;;;;
Не;4;2;P;31;15;Cl;35;17;6,9965;;;;;;;;;;
Li;7;3;P;31;15;Ar;38;18;25,1904;;;;;;;;;;
Be;9;4;P;31;15;K;40;19;20,4379;;;;;;;;;;
B;11;5;P;31;15;Ca;42;20;22,7657;;;;;;;;;;
N;15;7;P;31;15;Ti;46;22;19,7831;;;;;;;;;;
F;19;9;P;31;15;Cr;50;24;24,3278;;;;;;;;;;
Na;23;11;P;31;15;Fe;54;26;22,2767;;;;;;;;;;
Al;27;13;P;31;15;Ni;58;28;18,5889;;;;;;;;;;
D;2;1;Pb;207;82;Bi;209;83;8,9265;;;;;;;;;;
Н;1;1;Pb;208;82;Bi;209;83;3,7744;;;;;;;;;;
D;2;1;Pd;105;46;Ag;107;47;12,8285;;;;;;;;;;
Н;1;1;Pd;106;46;Ag;107;47;5,6402;;;;;;;;;;
Н;1;1;Pd;108;46;Ag;109;47;6,5624;;;;;;;;;;
Не;4;2;Pd;102;46;Cd;106;48;1,4839;;;;;;;;;;
Не;4;2;Pd;104;46;Cd;108;48;2,0148;;;;;;;;;;
He;3;2;Pd;105;46;Cd;108;48;15,528;;;;;;;;;;
Не;4;2;Pd;106;46;Cd;110;48;2,6389;;;;;;;;;;
He;3;2;Pd;108;46;Cd;111;48;14,3823;;;;;;;;;;
Не;4;2;Pd;108;46;Cd;112;48;3,4307;;;;;;;;;;
He;3;2;Pd;110;46;Cd;113;48;14,8294;;;;;;;;;;
Не;4;2;Pd;110;46;Cd;114;48;3,291;;;;;;;;;;
Li;7;3;Pd;106;46;In;113;49;13,9025;;;;;;;;;;
Li;7;3;Pd;108;46;In;115;49;14,7688;;;;;;;;;;
Be;9;4;Pd;105;46;Sn;114;50;10,1216;;;;;;;;;;
Be;9;4;Pd;106;46;Sn;115;50;11,0438;;;;;;;;;;
Be;9;4;Pd;108;46;Sn;117;50;12,1523;;;;;;;;;;
Be;9;4;Pd;110;46;Sn;119;50;12,3851;;;;;;;;;;
B;11;5;Pd;110;46;Sb;121;51;9,3662;;;;;;;;;;
C;12;6;Pd;110;46;Te;122;52;1,3972;;;;;;;;;;
C;13;6;Pd;110;46;Te;123;52;3,4223;;;;;;;;;;
O;18;8;Pd;110;46;Xe;128;54;0,1136;;;;;;;;;;
Н;1;1;Pr;141;59;Nd;142;60;7,207;;;;;;;;;;
D;2;1;Pr;141;59;Nd;143;60;11,0587;;;;;;;;;;
Li;6;3;Pr;141;59;Sm;147;62;7,3551;;;;;;;;;;
Li;7;3;Pr;141;59;Sm;148;62;8,2298;;;;;;;;;;
D;2;1;Pt;195;78;Au;197;79;11,5226;;;;;;;;;;
Н;1;1;Pt;196;78;Au;197;79;5,8256;;;;;;;;;;
He;3;2;Pt;195;78;Hg;198;80;13,0875;;;;;;;;;;
He;3;2;Pt;196;78;Hg;199;80;11,8812;;;;;;;;;;
He;3;2;Pt;198;78;Hg;201;80;12,3376;;;;;;;;;;
Li;7;3;Pt;196;78;Tl;203;81;8,0621;;;;;;;;;;
Li;7;3;Pt;198;78;Tl;205;81;8,4514;;;;;;;;;;
Be;9;4;Pt;195;78;Pb;204;82;3,6673;;;;;;;;;;
Be;9;4;Pt;198;78;Pb;207;82;3,5564;;;;;;;;;;
Н;1;1;Rb;85;37;Sr;86;38;9,5711;;;;;;;;;;
D;2;1;Rb;85;37;Sr;87;38;15,7627;;;;;;;;;;
Н;1;1;Rb;87;37;Sr;88;38;10,6144;;;;;;;;;;
Не;4;2;Rb;85;37;Y;89;39;8,2745;;;;;;;;;;
Li;6;3;Rb;85;37;Zr;91;40;20,1072;;;;;;;;;;
Li;7;3;Rb;85;37;Zr;92;40;21,5408;;;;;;;;;;
Li;7;3;Rb;87;37;Zr;94;40;17,7403;;;;;;;;;;
B;10;5;Rb;85;37;Mo;95;42;17,6323;;;;;;;;;;
B;11;5;Rb;85;37;Mo;96;42;15,3371;;;;;;;;;;
B;10;5;Rb;87;37;Mo;97;42;15,2476;;;;;;;;;;
B;11;5;Rb;87;37;Mo;98;42;12,0861;;;;;;;;;;
N;14;7;Rb;85;37;Ru;99;44;8,2642;;;;;;;;;;
N;15;7;Rb;85;37;Ru;100;44;8,1953;;;;;;;;;;
N;14;7;Rb;87;37;Ru;101;44;7,7333;;;;;;;;;;
N;15;7;Rb;87;37;Ru;102;44;5,1866;;;;;;;;;;
O;18;8;Rb;85;37;Rh;103;45;5,6542;;;;;;;;;;
F;19;9;Rb;85;37;Pd;104;46;6,1059;;;;;;;;;;
F;19;9;Rb;87;37;Pd;106;46;4,0846;;;;;;;;;;
Н;1;1;Re;185;75;Os;186;76;6,432;;;;;;;;;;
D;2;1;Re;185;75;Os;187;76;10,3973;;;;;;;;;;
Н;1;1;Re;187;75;Os;188;76;7,2796;;;;;;;;;;
D;2;1;Re;187;75;Os;189;76;11,0028;;;;;;;;;;
Li;7;3;Re;185;75;Pt;192;78;7,0747;;;;;;;;;;
Li;7;3;Re;187;75;Pt;194;78;8,5278;;;;;;;;;;
Н;1;1;Rh;103;45;Pd;104;46;8,444;;;;;;;;;;
D;2;1;Rh;103;45;Pd;105;46;13,285;;;;;;;;;;
Не;4;2;Rh;103;45;Ag;107;47;2,2663;;;;;;;;;;
Li;7;3;Rh;103;45;Cd;110;48;16,6132;;;;;;;;;;
B;11;5;Rh;103;45;Sn;114;50;7,587;;;;;;;;;;
D;2;1;Ru;101;44;Rh;103;45;12,5025;;;;;;;;;;
Н;1;1;Ru;102;44;Rh;103;45;6,2829;;;;;;;;;;
Не;4;2;Ru;98;44;Pd;102;46;2,9463;;;;;;;;;;
He;3;2;Ru;99;44;Pd;102;46;15,9938;;;;;;;;;;
Не;4;2;Ru;100;44;Pd;104;46;1,9217;;;;;;;;;;
He;3;2;Ru;101;44;Pd;104;46;15,4535;;;;;;;;;;
Не;4;2;Ru;101;44;Pd;105;46;1,9403;;;;;;;;;;
He;3;2;Ru;102;44;Pd;105;46;14,0749;;;;;;;;;;
Не;4;2;Ru;102;44;Pd;106;46;2,9091;;;;;;;;;;
Не;4;2;Ru;104;44;Pd;108;46;3,9244;;;;;;;;;;
Li;7;3;Ru;100;44;Ag;107;47;13,0921;;;;;;;;;;
Li;6;3;Ru;101;44;Ag;107;47;13,298;;;;;;;;;;
Li;7;3;Ru;102;44;Ag;109;47;13,9957;;;;;;;;;;
Be;9;4;Ru;99;44;Cd;108;48;13,2887;;;;;;;;;;
Be;9;4;Ru;101;44;Cd;110;48;12,4224;;;;;;;;;;
Be;9;4;Ru;102;44;Cd;111;48;10,6153;;;;;;;;;;
Be;9;4;Ru;104;44;Cd;113;48;12,2082;;;;;;;;;;
B;11;5;Ru;102;44;In;113;49;8,1459;;;;;;;;;;
B;11;5;Ru;104;44;In;115;49;10,0275;;;;;;;;;;
C;13;6;Ru;99;44;Sn;112;50;4,1861;;;;;;;;;;
C;13;6;Ru;101;44;Sn;114;50;1,4103;;;;;;;;;;
C;13;6;Ru;102;44;Sn;115;50;3,3012;;;;;;;;;;
C;12;6;Ru;104;44;Sn;116;50;3,1857;;;;;;;;;;
C;13;6;Ru;104;44;Sn;117;50;5,425;;;;;;;;;;
O;18;8;Ru;104;44;Te;122;52;1,5742;;;;;;;;;;
D;2;1;S;33;16;Cl;35;17;15,5634;;;;;;;;;;
Н;1;1;S;34;16;Cl;35;17;6,3668;;;;;;;;;;
Не;4;2;S;32;16;Ar;36;18;6,6406;;;;;;;;;;
He;3;2;S;33;16;Ar;36;18;18,5768;;;;;;;;;;
Не;4;2;S;34;16;Ar;38;18;7,2126;;;;;;;;;;
Li;7;3;S;32;16;K;39;19;22,6959;;;;;;;;;;
Li;6;3;S;33;16;K;39;19;21,3061;;;;;;;;;;
Li;7;3;S;33;16;K;40;19;21,851;;;;;;;;;;
Li;6;3;S;34;16;K;40;19;17,6826;;;;;;;;;;
Li;7;3;S;34;16;K;41;19;20,5255;;;;;;;;;;
Be;9;4;S;33;16;Ca;42;20;23,3051;;;;;;;;;;
Be;9;4;S;34;16;Ca;43;20;19,8138;;;;;;;;;;
B;11;5;S;34;16;Sc;45;21;19,7952;;;;;;;;;;
C;13;6;S;33;16;Ti;46;22;20,6624;;;;;;;;;;
C;12;6;S;34;16;Ti;46;22;14,1885;;;;;;;;;;
C;13;6;S;34;16;Ti;47;22;18,1278;;;;;;;;;;
O;18;8;S;32;16;Cr;50;24;23,4578;;;;;;;;;;
O;17;8;S;33;16;Cr;50;24;22,8626;;;;;;;;;;
O;16;8;S;34;16;Cr;50;24;15,583;;;;;;;;;;
O;18;8;S;34;16;Cr;52;24;24,6948;;;;;;;;;;
Ne;22;10;S;32;16;Fe;54;26;22,205;;;;;;;;;;
Ne;21;10;S;33;16;Fe;54;26;23,9292;;;;;;;;;;
Ne;20;10;S;34;16;Fe;54;26;19,2689;;;;;;;;;;
Ne;22;10;S;34;16;Fe;56;26;22,6521;;;;;;;;;;
Mg;26;12;S;32;16;Ni;58;28;17,9993;;;;;;;;;;
Mg;25;12;S;33;16;Ni;58;28;20,4547;;;;;;;;;;
Mg;24;12;S;34;16;Ni;58;28;16,3645;;;;;;;;;;
Mg;26;12;S;34;16;Ni;60;28;18,3253;;;;;;;;;;
Si;30;14;S;34;16;Zn;64;30;11,626;;;;;;;;;;
Н;1;1;Sb;121;51;Te;122;52;7,9876;;;;;;;;;;
D;2;1;Sb;121;51;Te;123;52;12,7354;;;;;;;;;;
Н;1;1;Sb;123;51;Te;124;52;8,5837;;;;;;;;;;
D;2;1;Sb;123;51;Te;125;52;12,8844;;;;;;;;;;
Не;4;2;Sb;123;51;I;127;53;2,2365;;;;;;;;;;
Li;7;3;Sb;121;51;Xe;128;54;15,106;;;;;;;;;;
Li;6;3;Sb;123;51;Xe;129;54;13,4992;;;;;;;;;;
Li;7;3;Sb;123;51;Xe;130;54;15,5047;;;;;;;;;;
B;11;5;Sb;121;51;Ba;132;56;7,3914;;;;;;;;;;
B;11;5;Sb;123;51;Ba;134;56;8,5185;;;;;;;;;;
Н;1;1;Sc;45;21;Ti;46;22;10,3498;;;;;;;;;;
D;2;1;Sc;45;21;Ti;47;22;17,0119;;;;;;;;;;
Li;7;3;Sc;45;21;Cr;52;24;29,2582;;;;;;;;;;
B;11;5;Sc;45;21;Fe;56;26;28,2168;;;;;;;;;;
N;15;7;Sc;45;21;Ni;60;28;23,5146;;;;;;;;;;
O;18;8;Sc;45;21;Cu;63;29;23,7382;;;;;;;;;;
F;19;9;Sc;45;21;Zn;64;30;23,4541;;;;;;;;;;
D;2;1;Se;77;34;Br;79;35;14,6133;;;;;;;;;;
Н;1;1;Se;78;34;Br;79;35;6,3574;;;;;;;;;;
Н;1;1;Se;80;34;Br;81;35;7,4454;;;;;;;;;;
Не;4;2;Se;74;34;Kr;78;36;4,364;;;;;;;;;;
Не;4;2;Se;76;34;Kr;80;36;5,0757;;;;;;;;;;
He;3;2;Se;77;34;Kr;80;36;18,2396;;;;;;;;;;
Не;4;2;Se;78;34;Kr;82;36;6,0249;;;;;;;;;;
He;3;2;Se;80;34;Kr;83;36;17,1497;;;;;;;;;;
Не;4;2;Se;80;34;Kr;84;36;7,0896;;;;;;;;;;
Li;7;3;Se;78;34;Rb;85;37;20,1603;;;;;;;;;;
Li;7;3;Se;80;34;Rb;87;37;21,7383;;;;;;;;;;
Be;9;4;Se;77;34;Sr;86;38;21,294;;;;;;;;;;
Be;9;4;Se;78;34;Sr;87;38;19,2298;;;;;;;;;;
B;11;5;Se;78;34;Y;89;39;19,7691;;;;;;;;;;
C;13;6;Se;77;34;Zr;90;40;17,6686;;;;;;;;;;
C;12;6;Se;78;34;Zr;90;40;12,1355;;;;;;;;;;
